2024-07-24,URC ESMO Piatto's Mixer PLC Controls (PR# 1200008744),CMRP24070287,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-03-18,2025-03-21,GO,NSG,RJR,RJR,Submitted,2025-03-24,17,1963392.85,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Focus Business,10 -Reasonable Time,10 -Complete,PO# 400142053 10-Apr-2025,c5809664-50ce-4893-a62e-31f251be9bd4,,1
2024-07-24,URC ESMO Marlen Extruder PLC Upgrade (PR#1200009601),CMRP24070290,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-06-06,2025-02-18,GO,JMO,RJR,Partner,Submitted,2025-03-21,15,842273.16,LOST,2025-03-01,,,10-Existing,10 -Existing Solution,10 -Focus Business,10 -Reasonable Time,10 -Complete,"SSW18Feb2025, HOLD BY END_USER",e5c44c7f-f238-41a5-bd5b-c65a5756ddca,,1
2025-02-12,URC Pam 2_ Boiler PLC and CPU Upgrade (RFP by Sir Errol),CMRP25020047,0,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-02-12,,GO,JMO,RJR,RJR,Submitted,,33,434910.71,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,7 -Urgent,5 -Limited,PO# 400159505 08-April-2025;  Completed,2138a891-dfdb-4af5-b79a-053a622293f5,,1
2024-09-27,UGC CMMS Lightweight MES,CMRP24060230,2,UGC,Digitalization,IT,Manufacturing,MANUFACTURING,2024-09-27,,GO,ISP,ISP,ISP,Submitted,2024-09-17,,643200.00,OP30,,,,10-Strategic,8 -Need to Customize,8 -Strategic Business,10 -Reasonable Time,10 -Complete,,0db3c600-144e-439a-89ca-703fcdcc3e51,,1
2024-11-05,Kingsford Hotel ACS & Traffic Management System,CMRP24110469,9,Megaworld,Electrification,ACS,Buildings,CONSTRUCTION,2024-10-30,2024-11-08,GO,CBD,RJR,SubCon,Submitted,2025-05-27,24,3153809.88,LOST,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,1.8M lowest,965e907b-f038-40d9-bf82-de4a722ba5e9,,1
2024-11-08,Jazeera Paints PCS7 Servers and Clients Upgrade,CMRP24110472,3,Jazeera Paints,Automation,PLC / SCADA,Manufacturing,MANUFACTURING,2024-11-11,,GO,ISP,ISP,SubCon,Submitted,2025-01-24,55,3796118.61,OP60,,,,"5-New Account, No Champion",10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,,4aa35638-bda6-4e07-975c-7b5545428368,,1
2025-02-24,TMI M2: CYLINDER PRESSURE SENSOR (PR 140002707),CMRP25020063,0,Aboitiz,Automation,INSTRUMENTATION,Power,POWER PLANT,2025-02-24,2025-02-25,GO,NSG,NSG,Partner,Submitted,2025-02-25,49,237230.22,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Focus Business,10 -Reasonable Time,10 -Complete,PO_150002098_0 15-April-2025,5f105c42-cd65-4d0b-b9c0-eb35c54ea4ca,,1
2025-02-27,URC Pam 1 Conversion & Upgrade of Silo PLC & Desktop PC,CMRP25030095,1,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-02-27,2025-03-31,GO,JMO,RJR,RJR,Submitted,2025-03-31,19,2245652.41,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,7 -Urgent,10 -Complete,PO# 400159992 10-Apr-2025; Due 01-Aug,b82ca40f-30f6-4c00-8ef4-37ce9fc77263,,1
2024-11-19,URC Pamp 2 MVSG,CMRP24120532,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,2024-01-19,,GO,JMO,JMO,SubCon,For Revision,2025-01-16,19,8202545.21,Inactive,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,"03June, PR for approval to include Skid Civil works",604b60e5-f911-4d89-887d-a93a4a8721bd,,1
2024-11-19,URC Pamp 2 Packaging Cooling Tunnel Controller & HMI Upgarde for L1 & L2,CMRP24120531,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-03-07,2025-03-14,GO,JMO,RJR,VIB,Submitted,2025-04-10,15,5904833.39,LOST,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,Lost to JAM by 12.55% (5.164M VAT EX),669417f3-4cdd-4777-9d38-846b2a74e988,,1
